date,  KOSDAQ_Index(Avg.),  KOSDAQ_Index(End of),  KOSDAQ_Market Capitalization,  KOSDAQ_No.of Listed Companies,  KOSDAQ_No.of Listed Issues,  KOSDAQ_No.of Listed Shares,  KOSDAQ_Trading Value,  KOSDAQ_Trading Value (Daily Arg.),  KOSDAQ_Trading Volume,  KOSDAQ_Trading Volume (Daily Arg.),  KOSDAQ_Turn-over ratio over listed stock,  KOSPI_Dividend yield ratio,  KOSPI_Index(Avg.),  KOSPI_Index(End Of),  KOSPI_Market Capitalization,  KOSPI_No. of Listed Shares,  KOSPI_No.of Listed Companies,  KOSPI_No.of Listed Issues,  KOSPI_Price Earnings Ratio,  KOSPI_Trading Value,  KOSPI_Trading Value (Daily Arg.),  KOSPI_Trading Volume,  KOSPI_Trading Volume (Daily Arg.),  KOSPI_Turn-over ratio over listed stock
2018/01,872.45,913.57,"325,329,741,485.00","1,267.00","1,270.00","34,058,713,700.00","190,697,238,139.00","8,668,056,279.00","25,448,023,937.00","1,156,728,361.00",75.03,1.31,"2,520.94","2,566.46","1,668,579,804,447.00","42,641,261,615.00",776.00,890.00,13.50,"157,136,686,018.00","7,142,576,637.00","8,253,530,594.00","375,160,482.00",19.34
2018/02,863.64,857.06,"274,633,003,993.00","1,271.00","1,274.00","34,060,236,290.00","110,926,912,283.00","6,162,606,238.00","16,070,243,896.00","892,791,328.00",47.14,1.35,"2,439.10","2,427.36","1,611,555,217,440.00","42,836,229,228.00",777.00,891.00,13.02,"123,961,468,886.00","6,886,748,271.00","7,281,216,250.00","404,512,014.00",17.03
2018/03,867.92,871.09,"280,940,228,854.00","1,268.00","1,271.00","34,254,064,794.00","115,733,234,875.00","5,511,106,423.00","17,897,027,088.00","852,239,385.00",52.40,1.34,"2,451.57","2,445.85","1,627,646,951,097.00","43,167,779,306.00",777.00,892.00,13.10,"144,557,236,057.00","6,883,677,907.00","8,078,904,661.00","384,709,746.00",18.79
2018/04,879.89,875.95,"284,649,041,469.00","1,269.00","1,272.00","34,474,053,214.00","136,156,475,162.00","6,483,641,674.00","23,023,657,217.00","1,096,364,629.00",66.94,1.30,"2,458.22","2,515.38","1,680,104,341,308.00","43,355,407,357.00",777.00,892.00,13.50,"164,052,568,097.00","7,812,027,052.00","10,439,849,786.00","497,135,704.00",24.14
2018/05,863.84,879.66,"286,712,764,239.00","1,269.00","1,272.00","34,418,607,389.00","118,768,221,581.00","5,938,411,079.00","21,459,437,193.00","1,072,971,860.00",62.30,1.61,"2,461.30","2,423.01","1,619,387,832,449.00","51,029,760,835.00",777.00,891.00,11.61,"181,065,264,275.00","9,053,263,214.00","12,820,544,339.00","641,027,217.00",25.63
2018/06,850.60,818.22,"267,688,877,675.00","1,272.00","1,275.00","34,737,129,096.00","93,091,069,688.00","4,899,529,984.00","15,798,786,726.00","831,515,091.00",45.70,1.67,"2,394.51","2,326.13","1,554,717,340,202.00","51,125,980,701.00",779.00,893.00,11.05,"143,377,974,829.00","7,546,209,202.00","9,450,856,204.00","497,413,484.00",18.52
2018/07,793.49,775.52,"256,779,938,719.00","1,273.00","1,276.00","35,120,424,531.00","75,768,925,252.00","3,444,042,057.00","13,734,935,950.00","624,315,270.00",39.18,1.70,"2,284.25","2,295.26","1,536,034,531,292.00","51,824,117,347.00",784.00,898.00,10.89,"121,236,920,671.00","5,510,769,121.00","7,509,557,921.00","341,343,542.00",14.57
2018/08,786.00,816.97,"272,940,321,623.00","1,281.00","1,284.00","35,474,017,039.00","77,814,939,804.00","3,537,042,718.00","13,102,045,200.00","595,547,509.00",37.13,1.68,"2,283.80","2,322.88","1,554,873,150,916.00","52,005,827,833.00",787.00,901.00,11.01,"114,980,946,076.00","5,226,406,640.00","6,204,573,096.00","282,026,050.00",11.94
2018/09,824.62,822.27,"273,283,124,656.00","1,285.00","1,288.00","35,739,170,737.00","80,039,230,922.00","4,708,190,054.00","10,957,376,690.00","644,551,570.00",30.78,1.66,"2,307.33","2,343.07","1,567,600,410,138.00","52,063,119,299.00",788.00,902.00,11.24,"103,179,959,818.00","6,069,409,401.00","5,433,226,207.00","319,601,542.00",10.44
2018/10,724.95,648.67,"216,610,549,872.00","1,283.00","1,286.00","35,910,457,605.00","72,727,460,475.00","3,463,212,404.00","11,766,829,954.00","560,325,236.00",32.84,1.91,"2,153.48","2,029.69","1,361,478,009,940.00","52,269,940,511.00",788.00,902.00,9.74,"128,133,220,325.00","6,101,581,920.00","7,022,096,257.00","334,385,536.00",13.46
2018/11,687.78,695.76,"233,039,252,203.00","1,301.00","1,304.00","35,959,955,151.00","68,898,452,439.00","3,131,747,838.00","12,640,975,404.00","574,589,791.00",35.45,1.85,"2,083.33","2,096.86","1,403,482,457,592.00","52,337,546,122.00",789.00,903.00,10.07,"116,439,444,410.00","5,292,702,019.00","6,978,958,763.00","317,225,398.00",13.34
2018/12,676.49,675.65,"228,238,295,556.00","1,323.00","1,326.00","36,397,928,717.00","61,235,954,293.00","3,222,944,963.00","11,535,487,944.00","607,130,944.00",31.87,1.93,"2,070.13","2,041.04","1,343,971,857,986.00","52,094,789,048.00",788.00,901.00,9.58,"99,742,194,373.00","5,249,589,178.00","7,631,879,180.00","401,677,852.00",14.66
2019/01,690.46,716.86,"242,350,256,510.00","1,323.00","1,326.00","36,359,821,910.00","82,135,475,957.00","3,733,430,725.00","15,020,632,129.00","682,756,006.00",41.39,1.78,"2,101.98","2,204.85","1,455,505,296,056.00","52,362,035,044.00",788.00,901.00,10.36,"123,269,550,926.00","5,603,161,406.00","9,455,197,243.00","429,781,693.00",18.10
2019/02,739.71,731.25,"249,196,922,426.00","1,325.00","1,328.00","36,590,562,619.00","67,740,834,616.00","3,984,754,977.00","13,731,086,471.00","807,710,969.00",37.64,1.77,"2,210.20","2,195.44","1,448,767,023,639.00","52,486,929,008.00",788.00,901.00,10.38,"95,521,375,674.00","5,618,904,451.00","6,882,554,315.00","404,856,136.00",13.13
2019/03,742.44,729.31,"249,257,413,980.00","1,331.00","1,334.00","36,823,316,265.00","89,305,081,994.00","4,465,254,100.00","15,572,983,777.00","778,649,189.00",42.43,1.81,"2,161.91","2,140.67","1,417,246,090,701.00","52,607,645,632.00",791.00,904.00,10.13,"98,439,945,182.00","4,921,997,259.00","6,458,055,507.00","322,902,775.00",12.29
2019/04,755.68,754.74,"258,788,699,293.00","1,332.00","1,335.00","37,146,563,847.00","93,503,017,843.00","4,250,137,175.00","18,551,303,122.00","843,241,051.00",50.20,1.76,"2,212.12","2,203.59","1,461,526,970,030.00","52,846,165,737.00",791.00,904.00,10.43,"118,322,428,676.00","5,378,292,213.00","9,689,748,201.00","440,443,100.00",18.37
2019/05,715.13,696.47,"236,882,568,200.00","1,338.00","1,341.00","37,197,266,220.00","90,933,188,259.00","4,330,151,822.00","17,265,391,521.00","822,161,501.00",46.32,2.20,"2,086.90","2,041.74","1,358,693,515,770.00","53,562,064,556.00",790.00,901.00,10.59,"113,039,830,448.00","5,382,849,069.00","11,242,891,618.00","535,375,791.00",21.14
2019/06,714.47,690.53,"236,405,674,233.00","1,344.00","1,347.00","37,491,659,404.00","81,685,668,785.00","4,299,245,726.00","16,255,017,184.00","855,527,220.00",43.53,2.09,"2,105.30","2,130.62","1,419,520,754,393.00","53,568,677,689.00",789.00,900.00,12.32,"87,408,487,947.00","4,600,446,734.00","11,256,687,016.00","592,457,211.00",21.01
2019/07,667.48,630.18,"217,992,287,426.00","1,353.00","1,356.00","37,708,492,254.00","95,786,953,212.00","4,164,650,140.00","18,132,119,963.00","788,353,042.00",48.27,2.20,"2,079.48","2,024.55","1,349,751,511,726.00","53,792,332,654.00",789.00,900.00,11.71,"101,867,676,835.00","4,429,029,428.00","11,908,954,060.00","517,780,611.00",22.18
2019/08,595.05,610.55,"212,772,631,898.00","1,364.00","1,367.00","37,752,633,062.00","83,869,274,627.00","3,993,774,982.00","16,017,360,132.00","762,731,435.00",42.60,2.26,"1,944.24","1,967.79","1,313,598,665,258.00","54,037,382,585.00",789.00,901.00,11.38,"97,918,870,808.00","4,662,803,372.00","10,472,131,195.00","498,672,914.00",19.43
2019/09,632.96,621.76,"218,426,090,722.00","1,368.00","1,371.00","37,984,930,373.00","75,568,602,032.00","3,977,294,844.00","15,231,611,983.00","801,663,789.00",40.22,2.16,"2,045.21","2,063.05","1,379,383,990,482.00","54,167,539,003.00",789.00,901.00,14.09,"85,892,320,227.00","4,520,648,433.00","8,620,782,748.00","453,725,408.00",15.94
2019/10,644.97,658.52,"232,231,894,759.00","1,377.00","1,380.00","38,261,487,549.00","112,031,856,399.00","5,334,850,305.00","18,650,853,995.00","888,135,905.00",48.96,2.13,"2,065.75","2,083.48","1,397,134,899,921.00","54,685,125,279.00",794.00,910.00,14.23,"92,843,022,831.00","4,421,096,325.00","8,884,391,876.00","423,066,280.00",16.36
2019/11,656.89,632.99,"226,930,389,499.00","1,390.00","1,393.00","38,838,750,030.00","105,601,331,402.00","5,028,634,829.00","21,649,432,241.00","1,030,925,345.00",56.32,2.13,"2,128.79","2,087.96","1,401,938,201,846.00","54,938,973,241.00",798.00,914.00,14.27,"111,659,054,443.00","5,317,097,831.00","10,737,647,300.00","511,316,538.00",19.58
2019/12,640.54,669.83,"241,350,997,493.00","1,405.00","1,408.00","39,415,054,172.00","81,959,220,420.00","4,097,961,021.00","16,773,683,797.00","838,684,190.00",42.82,2.02,"2,147.01","2,197.67","1,475,909,365,806.00","55,322,658,427.00",799.00,916.00,18.20,"101,309,950,343.00","5,065,497,517.00","10,188,752,704.00","509,437,635.00",18.51
2020/01,671.12,642.48,"232,461,525,069.00","1,404.00","1,407.00","39,831,557,643.00","108,934,524,552.00","5,446,726,228.00","20,146,155,222.00","1,007,307,761.00",50.79,2.09,"2,203.44","2,119.01","1,427,047,754,940.00","55,465,186,013.00",800.00,917.00,17.56,"128,693,460,715.00","6,434,673,036.00","13,096,066,333.00","654,803,317.00",23.64
2020/02,667.30,610.73,"221,971,810,594.00","1,407.00","1,410.00","40,124,944,015.00","131,841,054,137.00","6,592,052,707.00","25,669,356,786.00","1,283,467,839.00",64.23,2.22,"2,167.12","1,987.01","1,337,716,963,290.00","55,270,362,982.00",799.00,916.00,16.50,"151,657,715,900.00","7,582,885,795.00","13,959,766,513.00","697,988,326.00",25.20
2020/03,549.44,569.07,"208,277,587,033.00","1,413.00","1,416.00","40,645,147,638.00","184,702,743,724.00","8,395,579,260.00","30,568,284,847.00","1,389,467,493.00",75.55,2.51,"1,786.75","1,754.64","1,179,728,722,561.00","54,768,125,536.00",798.00,915.00,14.66,"222,127,870,190.00","10,096,721,372.00","17,091,025,314.00","776,864,787.00",31.08
2020/04,615.60,645.18,"237,464,993,002.00","1,412.00","1,415.00","41,032,751,802.00","199,549,755,571.00","9,977,487,779.00","35,191,624,196.00","1,759,581,210.00",86.33,2.27,"1,849.59","1,947.56","1,309,179,248,331.00","54,895,358,624.00",796.00,912.00,16.26,"216,059,109,849.00","10,802,955,492.00","21,045,120,912.00","1,052,256,046.00",38.37
2020/05,695.30,713.68,"262,489,491,150.00","1,409.00","1,412.00","40,908,691,998.00","195,058,400,501.00","10,266,231,605.00","31,031,536,107.00","1,633,238,742.00",75.71,2.15,"1,965.17","2,029.60","1,363,450,451,367.00","55,008,701,941.00",796.00,913.00,19.62,"189,189,354,133.00","9,957,334,428.00","16,206,496,902.00","852,973,521.00",29.50
2020/06,743.57,737.97,"273,285,565,081.00","1,413.00","1,416.00","41,228,550,049.00","241,026,142,742.00","10,955,733,761.00","30,963,159,463.00","1,407,416,339.00",75.33,2.06,"2,134.70","2,108.33","1,418,860,741,475.00","55,067,321,497.00",793.00,910.00,24.18,"287,641,978,233.00","13,074,635,374.00","19,863,704,134.00","902,895,642.00",36.10
2020/07,781.02,815.30,"303,951,763,087.00","1,422.00","1,425.00","41,419,738,298.00","248,959,195,183.00","10,824,312,834.00","31,615,918,347.00","1,374,605,146.00",76.58,1.92,"2,195.95","2,249.37","1,526,798,727,990.00","54,728,344,276.00",791.00,908.00,26.04,"299,769,080,813.00","13,033,438,296.00","18,866,786,790.00","820,295,078.00",34.62
2020/08,835.29,848.24,"322,427,182,130.00","1,429.00","1,432.00","41,802,295,780.00","296,123,447,310.00","14,806,172,366.00","34,867,205,972.00","1,743,360,299.00",83.69,1.85,"2,349.87","2,326.17","1,581,099,787,410.00","55,288,841,507.00",795.00,912.00,26.70,"323,948,886,479.00","16,197,444,324.00","17,643,123,574.00","882,156,179.00",32.05
2020/09,865.53,848.15,"328,737,556,832.00","1,439.00","1,442.00","42,111,558,737.00","299,799,576,570.00","14,276,170,313.00","42,817,505,462.00","2,038,928,832.00",102.00,1.85,"2,371.52","2,327.89","1,584,465,079,442.00","55,239,961,773.00",796.00,914.00,27.79,"298,108,591,925.00","14,195,647,235.00","19,606,896,975.00","933,661,761.00",35.44
2020/10,832.64,792.65,"309,289,392,480.00","1,445.00","1,448.00","42,188,421,891.00","193,498,279,762.00","10,184,119,987.00","36,610,555,415.00","1,926,871,338.00",86.84,1.89,"2,357.82","2,267.15","1,553,004,436,321.00","55,634,206,539.00",797.00,915.00,27.23,"206,093,511,871.00","10,847,026,941.00","15,705,576,987.00","826,609,315.00",28.28
2020/11,850.78,886.11,"349,878,362,037.00","1,451.00","1,454.00","42,753,817,674.00","258,496,704,025.00","12,309,366,858.00","41,798,996,883.00","1,990,428,423.00",98.48,1.65,"2,504.18","2,591.34","1,779,635,399,547.00","56,024,758,709.00",799.00,917.00,31.17,"320,234,746,626.00","15,249,273,649.00","24,377,964,949.00","1,160,855,474.00",43.70
2020/12,928.02,968.42,"385,582,620,024.00","1,468.00","1,471.00","43,416,084,386.00","324,196,919,602.00","15,437,948,552.00","43,369,629,148.00","2,065,220,436.00",100.79,1.48,"2,755.77","2,873.47","1,980,543,161,609.00","56,609,043,184.00",800.00,917.00,29.47,"382,179,110,336.00","18,199,005,254.00","24,561,049,328.00","1,169,573,778.00",43.66
2021/01,975.31,928.73,"373,691,858,148.00","1,473.00","1,476.00","44,080,968,506.00","312,372,887,207.00","15,618,644,360.00","41,834,310,229.00","2,091,715,511.00",95.60,1.43,"3,089.27","2,976.21","2,051,302,353,271.00","56,669,739,224.00",801.00,919.00,30.59,"529,556,443,855.00","26,477,822,193.00","26,093,976,278.00","1,304,698,814.00",46.04
2021/02,956.98,913.94,"371,466,543,251.00","1,483.00","1,486.00","44,437,647,535.00","238,928,056,657.00","13,273,780,925.00","52,412,164,894.00","2,911,786,939.00",118.34,1.41,"3,092.41","3,012.95","2,079,822,287,071.00","56,862,057,213.00",803.00,921.00,30.98,"343,717,593,913.00","19,095,421,884.00","30,029,597,466.00","1,668,310,970.00",52.85
2021/03,935.33,956.17,"388,147,690,314.00","1,493.00","1,496.00","44,770,799,509.00","243,005,856,825.00","11,045,720,765.00","53,840,290,669.00","2,447,285,940.00",120.55,1.38,"3,032.47","3,061.42","2,133,373,184,071.00","57,433,422,392.00",805.00,923.00,31.67,"332,939,741,955.00","15,133,624,634.00","27,901,981,044.00","1,268,271,866.00",48.88
2021/04,"1,001.79",983.45,"405,736,743,777.00","1,496.00","1,499.00","45,602,253,016.00","273,972,868,677.00","12,453,312,213.00","55,494,855,511.00","2,522,493,432.00",122.29,1.34,"3,165.08","3,147.86","2,196,644,814,286.00","58,092,236,863.00",804.00,922.00,32.60,"346,210,093,031.00","15,736,822,410.00","31,066,511,618.00","1,412,114,164.00",53.72
2021/05,969.08,981.78,"408,938,575,016.00","1,505.00","1,508.00","44,601,940,926.00","178,785,643,974.00","9,409,770,735.00","29,315,277,167.00","1,542,909,325.00",64.81,1.79,"3,169.20","3,203.92","2,240,204,442,358.00","58,423,341,777.00",808.00,927.00,26.69,"303,551,521,072.00","15,976,395,846.00","18,790,315,271.00","988,963,962.00",32.26
2021/06,"1,000.92","1,029.96","430,852,268,750.00","1,506.00","1,509.00","44,840,078,048.00","229,893,489,880.00","10,449,704,085.00","38,255,495,973.00","1,738,886,181.00",85.77,1.73,"3,259.14","3,296.68","2,307,579,219,298.00","58,686,076,275.00",808.00,927.00,18.38,"372,849,547,291.00","16,947,706,695.00","35,354,542,874.00","1,607,024,676.00",60.45
2021/07,"1,043.29","1,031.14","431,002,824,833.00","1,505.00","1,508.00","45,157,976,282.00","275,517,588,044.00","12,523,526,729.00","35,922,635,554.00","1,632,847,071.00",79.92,1.78,"3,254.57","3,202.32","2,252,545,492,371.00","59,040,742,998.00",810.00,929.00,17.85,"303,914,648,353.00","13,814,302,198.00","22,117,057,112.00","1,005,320,778.00",37.58
2021/08,"1,029.98","1,038.33","438,022,823,463.00","1,507.00","1,510.00","45,633,120,188.00","250,559,577,293.00","11,931,408,443.00","27,013,485,798.00","1,286,356,467.00",59.47,1.73,"3,182.50","3,199.27","2,309,062,612,930.00","59,972,891,258.00",816.00,935.00,18.20,"325,958,243,309.00","15,521,821,110.00","13,800,929,905.00","657,187,138.00",23.12
2021/09,"1,035.89","1,003.27","425,618,382,401.00","1,512.00","1,515.00","45,807,245,590.00","206,864,836,834.00","10,887,622,991.00","24,515,301,071.00","1,290,279,004.00",53.66,1.79,"3,141.70","3,068.82","2,231,957,338,379.00","60,456,235,769.00",819.00,938.00,14.72,"267,165,925,096.00","14,061,364,479.00","14,269,522,234.00","751,027,486.00",23.67
